depth,width,epochs,loss
0,30,100,0.024192000537738203
1,30,100,0.023270894553139805
2,30,100,0.00044224896607920525
3,30,100,0.00045023490127059633
4,30,100,0.0001889423184446059
5,30,100,0.0008037869009189307
6,30,100,0.0007408698067534715
7,30,100,0.0009909988188184797
8,30,100,0.0030759806902147828
9,30,100,0.0014146664414787665
0,30,1000,0.01111998062208295
1,30,1000,0.012951154007017612
2,30,1000,7.631740585784428e-05
3,30,1000,0.00014820671082707123
4,30,1000,0.0002562864589737728
5,30,1000,0.00021814668914303185
6,30,1000,0.0002254323152010329
7,30,1000,0.0018691603273153306
8,30,1000,0.003998987205023877
9,30,1000,0.0022098720703274013
